circuit,mode,lambda,coverage_proxy_mode,segment_window,ratio,k,coverage_proxy,coverage_loss,toggles,activity,max_stress,stress_variance,stress_imbalance,max_segment_stress,segment_variance,hotspot_count,tradeoff_score,pareto_cov_maxstress,pareto_cov_activity,selection_time_ms,simulation_time_ms
s1196,co_wear,0.000000,combined,16,1.000000,18,1.000000,0.000000,20854,0.480330,0.533167,0.001012,0.110003,0.481939,0.000003,1,0.102162,1,1,0.003,0.818
s1196,co_wear,0.250000,combined,16,0.050000,1,0.165299,0.834701,75,0.559701,0.559701,0.000000,0.000000,0.559701,0.000000,0,-0.821082,0,0,0.010,0.008
s1196,co_wear,0.250000,combined,16,0.100000,2,0.243845,0.756155,253,0.472015,0.477612,0.000031,0.011858,0.472015,0.000000,0,-0.595281,1,0,0.003,0.019
s1196,co_wear,0.250000,combined,16,0.150000,3,0.349355,0.650645,518,0.429519,0.509950,0.003244,0.187259,0.429519,0.000000,0,-0.727496,1,1,0.001,0.035
s1196,co_wear,0.250000,combined,16,0.200000,4,0.445487,0.554513,1181,0.550840,0.565299,0.000251,0.026249,0.550840,0.000000,0,-0.557207,0,0,0.001,0.054
s1196,co_wear,0.250000,combined,16,0.250000,5,0.527550,0.472450,1724,0.514627,0.526866,0.000130,0.023782,0.514627,0.000000,0,-0.400084,0,0,0.001,0.071
s1196,co_wear,0.250000,combined,16,0.300000,5,0.527550,0.472450,1724,0.514627,0.526866,0.000130,0.023782,0.514627,0.000000,0,-0.400084,0,0,0.001,0.046
s1196,co_wear,0.250000,combined,16,0.350000,6,0.601407,0.398593,2404,0.498342,0.521144,0.000127,0.045757,0.498342,0.000000,0,-0.306456,1,0,0.001,0.107
s1196,co_wear,0.250000,combined,16,0.400000,7,0.701055,0.298945,3079,0.468931,0.523454,0.000648,0.116272,0.468931,0.000000,0,-0.222703,1,0,0.001,0.149
s1196,co_wear,0.250000,combined,16,0.450000,8,0.776084,0.223916,4051,0.472365,0.530784,0.000924,0.123673,0.472365,0.000000,0,-0.178367,1,0,0.001,0.217
s1196,co_wear,0.250000,combined,16,0.500000,9,0.830012,0.169988,5069,0.467017,0.564677,0.003217,0.209114,0.467017,0.000000,0,-0.325808,0,0,0.001,0.244
s1196,co_wear,0.250000,combined,16,0.550000,10,0.883939,0.116061,6634,0.495075,0.575373,0.002232,0.162195,0.495075,0.000000,0,-0.230313,0,0,0.002,0.294
s1196,co_wear,0.250000,combined,16,0.600000,11,0.901524,0.098476,7958,0.490810,0.571913,0.002210,0.165243,0.490810,0.000000,0,-0.204264,0,0,0.001,0.362
s1196,co_wear,0.250000,combined,16,0.650000,12,0.933177,0.066823,9278,0.480825,0.551617,0.002242,0.147230,0.480825,0.000000,0,-0.148466,0,0,0.001,0.439
s1196,co_wear,0.250000,combined,16,0.700000,13,0.960141,0.039859,10722,0.473461,0.551665,0.002405,0.165174,0.473461,0.000000,0,-0.127586,0,0,0.001,0.509
s1196,co_wear,0.250000,combined,16,0.750000,14,0.962485,0.037515,12596,0.479592,0.562367,0.002810,0.172594,0.479592,0.000000,0,-0.171242,0,0,0.002,0.554
s1196,co_wear,0.250000,combined,16,0.800000,14,0.962485,0.037515,12596,0.479592,0.562367,0.002810,0.172594,0.479592,0.000000,0,-0.171242,0,0,0.002,0.497
s1196,co_wear,0.250000,combined,16,0.850000,15,0.982415,0.017585,14419,0.478242,0.548756,0.002480,0.147444,0.478242,0.000000,0,-0.112803,0,0,0.001,0.640
s1196,co_wear,0.250000,combined,16,0.900000,16,0.983587,0.016413,16013,0.466797,0.531250,0.001857,0.138075,0.466797,0.000000,0,-0.038164,1,1,0.001,0.699
s1196,co_wear,0.250000,combined,16,0.950000,17,0.989449,0.010551,18834,0.486340,0.535996,0.001226,0.102103,0.486858,0.000002,0,-0.005300,0,0,0.002,0.761
s1196,co_wear,0.250000,combined,16,1.000000,18,1.000000,0.000000,20854,0.480330,0.533167,0.001012,0.110003,0.481939,0.000003,1,0.029561,1,1,0.002,0.816
s1196,co_wear,0.500000,combined,16,0.050000,1,0.165299,0.834701,75,0.559701,0.559701,0.000000,0.000000,0.559701,0.000000,0,-0.814957,0,0,0.006,0.007
s1196,co_wear,0.500000,combined,16,0.100000,2,0.243845,0.756155,253,0.472015,0.477612,0.000031,0.011858,0.472015,0.000000,0,-0.590235,0,0,0.002,0.018
s1196,co_wear,0.500000,combined,16,0.150000,3,0.317702,0.682298,555,0.460199,0.472637,0.000087,0.027027,0.460199,0.000000,0,-0.506135,0,0,0.001,0.041
s1196,co_wear,0.500000,combined,16,0.200000,4,0.399766,0.600234,908,0.423507,0.436567,0.000078,0.030837,0.423507,0.000000,0,-0.359655,1,1,0.001,0.055
